Latitude X,Longitude X,Traffic Violence,Crashdate,Crashseverity
39.105601,-84.520771,Injury,1/22/2021 12:41:00 AM,2 - SERIOUS INJURY SUSPECTED
39.177191,-84.476791,Injury,3/26/2021 1:15:00 AM,2 - SERIOUS INJURY SUSPECTED
39.183503,-84.483136,Injury,6/11/2021 8:24:00 AM,2 - SERIOUS INJURY SUSPECTED
39.162109,-84.510312,Injury,11/6/2020 3:08:00 PM,2 - SERIOUS INJURY SUSPECTED
39.20613,-84.474443,Injury,12/13/2019 2:29:00 AM,2 - SERIOUS INJURY SUSPECTED
39.124718,-84.31858,Injury,1/1/2021 3:25:00 AM,3 - MINOR INJURY SUSPECTED
39.181302,-84.415067,Injury,7/5/2019 4:50:00 PM,3 - MINOR INJURY SUSPECTED
39.113461,-84.517231,Injury,9/24/2021 6:19:00 PM,3 - MINOR INJURY SUSPECTED
39.152776,-84.483432,Injury,12/17/2021 7:51:00 PM,3 - MINOR INJURY SUSPECTED
39.184099,-84.456834,Injury,6/7/2019 9:17:04 PM,3 - MINOR INJURY SUSPECTED
39.150953,-84.601349,Injury,4/12/2019 5:19:00 AM,3 - MINOR INJURY SUSPECTED
39.11976,-84.52156,Injury,4/2/2021 12:00:00 AM,3 - MINOR INJURY SUSPECTED
39.137763,-84.531287,Injury,7/26/2019 2:24:00 AM,3 - MINOR INJURY SUSPECTED
39.110768,-84.570516,Injury,8/27/2021 8:39:00 PM,3 - MINOR INJURY SUSPECTED
39.168746,-84.514348,Injury,8/14/2020 12:10:00 PM,3 - MINOR INJURY SUSPECTED
39.116441,-84.526561,Injury,6/19/2020 5:00:00 PM,3 - MINOR INJURY SUSPECTED
39.131025,-84.563237,Injury,10/18/2019 6:50:00 PM,3 - MINOR INJURY SUSPECTED
39.129119,-84.488105,Injury,11/27/2020 2:30:00 AM,3 - MINOR INJURY SUSPECTED
39.110106,-84.572335,Injury,6/18/2021 1:57:00 AM,3 - MINOR INJURY SUSPECTED
39.146031,-84.499636,Injury,2/21/2020 4:20:48 PM,3 - MINOR INJURY SUSPECTED
39.112143,-84.573445,Injury,12/20/2019 4:58:00 PM,3 - MINOR INJURY SUSPECTED
39.150563,-84.565017,Injury,6/17/2022 4:10:00 PM,3 - MINOR INJURY SUSPECTED
39.150019,-84.487614,Injury,5/29/2020 10:35:00 AM,3 - MINOR INJURY SUSPECTED
39.119466,-84.524242,Injury,4/8/2022 7:46:51 AM,3 - MINOR INJURY SUSPECTED
39.107735,-84.598907,Injury,7/24/2020 8:49:00 PM,3 - MINOR INJURY SUSPECTED
39.068091,-84.355554,Injury,12/3/2021 5:46:00 PM,3 - MINOR INJURY SUSPECTED
39.117441,-84.579731,Injury,4/3/2020 8:22:00 PM,3 - MINOR INJURY SUSPECTED
39.113351,-84.511921,Injury,9/17/2021 2:00:00 AM,3 - MINOR INJURY SUSPECTED
39.189541,-84.516441,Injury,3/19/2021 11:06:00 PM,3 - MINOR INJURY SUSPECTED
39.143251,-84.579071,Injury,5/1/2020 6:05:00 PM,3 - MINOR INJURY SUSPECTED
39.144861,-84.551231,Injury,11/19/2021 12:52:00 AM,3 - MINOR INJURY SUSPECTED
39.143691,-84.550821,Injury,11/19/2021 12:52:00 AM,3 - MINOR INJURY SUSPECTED
39.110273,-84.513654,Injury,8/20/2021 9:09:00 PM,3 - MINOR INJURY SUSPECTED
39.178044,-84.475617,Injury,4/16/2021 9:15:00 PM,3 - MINOR INJURY SUSPECTED
39.129092,-84.48645,Injury,9/24/2021 2:50:00 PM,3 - MINOR INJURY SUSPECTED
39.145081,-84.496893,Injury,3/8/2019 6:35:00 AM,3 - MINOR INJURY SUSPECTED
39.144241,-84.491221,Injury,3/15/2019 4:00:00 PM,3 - MINOR INJURY SUSPECTED
39.131544,-84.592021,Injury,6/5/2020 5:16:00 PM,3 - MINOR INJURY SUSPECTED
39.148575,-84.488741,Injury,11/5/2021 11:30:21 PM,3 - MINOR INJURY SUSPECTED
39.148241,-84.489261,Injury,2/8/2019 8:01:00 PM,3 - MINOR INJURY SUSPECTED
39.160775,-84.474683,Injury,8/14/2020 10:09:00 PM,3 - MINOR INJURY SUSPECTED
39.111601,-84.510471,Injury,4/29/2022 8:42:00 PM,3 - MINOR INJURY SUSPECTED
39.181665,-84.446766,Injury,12/24/2021 6:45:00 PM,3 - MINOR INJURY SUSPECTED
39.113868,-84.566363,Injury,5/15/2020 9:05:00 PM,3 - MINOR INJURY SUSPECTED
39.143767,-84.442786,Injury,10/29/2021 5:15:00 PM,3 - MINOR INJURY SUSPECTED
39.109921,-84.521168,Injury,10/2/2020 8:07:00 PM,3 - MINOR INJURY SUSPECTED
39.183638,-84.484167,Injury,2/7/2020 2:05:00 AM,3 - MINOR INJURY SUSPECTED
39.164,-84.47839,Injury,9/3/2021 8:30:00 PM,3 - MINOR INJURY SUSPECTED
39.127731,-84.497501,Injury,6/26/2020 4:19:00 PM,3 - MINOR INJURY SUSPECTED
39.144082,-84.490935,Injury,5/7/2021 9:35:00 PM,3 - MINOR INJURY SUSPECTED
39.152998,-84.550128,Injury,8/12/2022 11:38:13 AM,3 - MINOR INJURY SUSPECTED
39.163336,-84.509701,Injury,6/12/2020 1:40:00 PM,3 - MINOR INJURY SUSPECTED
39.176911,-84.466177,Injury,8/6/2021 2:50:06 AM,3 - MINOR INJURY SUSPECTED
39.114804,-84.576005,Injury,5/8/2020 1:14:00 AM,3 - MINOR INJURY SUSPECTED
39.161065,-84.394699,Injury,8/30/2019 10:10:00 PM,3 - MINOR INJURY SUSPECTED
39.098926,-84.514501,Injury,11/20/2020 1:29:00 PM,3 - MINOR INJURY SUSPECTED
39.182353,-84.428476,Injury,10/23/2020 8:28:00 PM,3 - MINOR INJURY SUSPECTED
39.201103,-84.562901,Injury,11/15/2019 3:43:00 PM,3 - MINOR INJURY SUSPECTED
39.21443,-84.481533,Injury,11/8/2019 5:42:00 PM,3 - MINOR INJURY SUSPECTED
39.165476,-84.506452,Injury,7/2/2021 4:33:00 PM,3 - MINOR INJURY SUSPECTED
39.135135,-84.558518,Injury,11/5/2021 7:45:00 PM,3 - MINOR INJURY SUSPECTED
39.14654,-84.51909,Injury,3/11/2022 7:28:00 PM,3 - MINOR INJURY SUSPECTED
39.162081,-84.422301,Injury,2/4/2022 1:30:00 PM,3 - MINOR INJURY SUSPECTED
39.175881,-84.509403,Injury,6/4/2021 9:57:00 PM,3 - MINOR INJURY SUSPECTED
39.100621,-84.522727,Injury,4/26/2019 2:18:00 AM,3 - MINOR INJURY SUSPECTED
39.147084,-84.597011,Injury,5/6/2022 2:27:00 PM,3 - MINOR INJURY SUSPECTED
39.125548,-84.53401,Injury,5/8/2020 1:45:00 PM,3 - MINOR INJURY SUSPECTED
39.183993,-84.568286,Injury,5/6/2022 2:28:00 AM,3 - MINOR INJURY SUSPECTED
39.121231,-84.574631,Injury,11/6/2020 4:18:00 PM,3 - MINOR INJURY SUSPECTED
39.194889,-84.476786,Injury,10/2/2020 10:55:00 PM,3 - MINOR INJURY SUSPECTED
39.140053,-84.479221,Injury,6/4/2021 11:50:00 AM,3 - MINOR INJURY SUSPECTED
39.124013,-84.503366,Injury,4/16/2021 4:47:00 PM,3 - MINOR INJURY SUSPECTED
39.153126,-84.563408,Injury,4/30/2021 10:22:00 PM,3 - MINOR INJURY SUSPECTED
39.148746,-84.550604,Injury,4/2/2021 9:05:00 AM,3 - MINOR INJURY SUSPECTED
39.148275,-84.581248,Injury,5/27/2022 1:39:00 PM,3 - MINOR INJURY SUSPECTED
39.142551,-84.475191,Injury,6/21/2019 11:21:00 PM,3 - MINOR INJURY SUSPECTED
39.21318,-84.47474,Injury,2/14/2020 9:11:00 PM,3 - MINOR INJURY SUSPECTED
39.129761,-84.511851,Injury,2/1/2019 9:04:00 PM,3 - MINOR INJURY SUSPECTED
39.113155,-84.575568,Injury,8/23/2019 12:00:00 AM,3 - MINOR INJURY SUSPECTED
39.12838,-84.49261,Injury,6/18/2021 10:52:00 PM,3 - MINOR INJURY SUSPECTED
39.112254,-84.511371,Injury,6/7/2019 8:00:00 AM,3 - MINOR INJURY SUSPECTED
39.128491,-84.534663,Injury,2/7/2020 7:15:00 PM,3 - MINOR INJURY SUSPECTED
39.107421,-84.569174,Injury,6/14/2019 10:20:00 AM,3 - MINOR INJURY SUSPECTED
39.101784,-84.516021,Injury,5/13/2022 7:25:00 PM,3 - MINOR INJURY SUSPECTED
39.165661,-84.519655,Injury,6/21/2019 3:07:00 PM,3 - MINOR INJURY SUSPECTED
39.147094,-84.467653,Injury,6/11/2021 1:44:00 AM,3 - MINOR INJURY SUSPECTED
39.128091,-84.509131,Injury,4/9/2021 9:29:00 PM,3 - MINOR INJURY SUSPECTED
39.131621,-84.593363,Injury,8/12/2022 11:00:00 PM,3 - MINOR INJURY SUSPECTED
39.137841,-84.537398,Injury,3/20/2020 10:37:00 PM,3 - MINOR INJURY SUSPECTED
39.138576,-84.538343,Injury,8/14/2020 1:49:00 PM,3 - MINOR INJURY SUSPECTED
39.108739,-84.513125,Injury,12/31/2021 6:25:00 PM,3 - MINOR INJURY SUSPECTED
39.106921,-84.576141,Injury,1/31/2020 11:20:00 PM,3 - MINOR INJURY SUSPECTED
39.191714,-84.5554,Injury,7/31/2020 4:37:00 PM,3 - MINOR INJURY SUSPECTED
39.198436,-84.457832,Injury,4/2/2021 11:27:00 PM,3 - MINOR INJURY SUSPECTED
39.178781,-84.487233,Injury,2/11/2022 2:35:00 AM,3 - MINOR INJURY SUSPECTED
39.135601,-84.534301,Injury,11/6/2020 5:41:00 AM,3 - MINOR INJURY SUSPECTED
39.159557,-84.549728,Injury,8/5/2022 11:50:00 PM,3 - MINOR INJURY SUSPECTED
39.161315,-84.554796,Injury,4/10/2020 11:47:00 PM,3 - MINOR INJURY SUSPECTED
39.129951,-84.502058,Injury,9/9/2022 3:14:00 PM,3 - MINOR INJURY SUSPECTED
39.148774,-84.591978,Injury,9/10/2021 10:05:00 PM,4 - INJURY POSSIBLE
39.112311,-84.519301,Injury,2/28/2020 10:00:00 AM,4 - INJURY POSSIBLE
39.1257,-84.48951,Injury,10/25/2019 10:30:00 PM,4 - INJURY POSSIBLE
39.136945,-84.542111,Injury,12/27/2019 12:25:00 PM,4 - INJURY POSSIBLE
39.149545,-84.538789,Injury,3/19/2021 4:20:48 PM,4 - INJURY POSSIBLE
39.101631,-84.548591,Injury,8/21/2020 11:13:00 PM,4 - INJURY POSSIBLE
39.192336,-84.456208,Injury,9/6/2019 6:41:00 PM,4 - INJURY POSSIBLE
39.144332,-84.489705,Injury,7/3/2020 1:00:00 AM,4 - INJURY POSSIBLE
39.179849,-84.433365,Injury,8/26/2022 2:47:00 AM,4 - INJURY POSSIBLE
39.126619,-84.563471,Injury,9/17/2021 9:20:00 PM,4 - INJURY POSSIBLE
39.130735,-84.588826,Injury,6/10/2022 9:30:00 PM,4 - INJURY POSSIBLE
39.124531,-84.492021,Injury,12/3/2021 8:39:00 AM,4 - INJURY POSSIBLE
39.152971,-84.585571,Injury,6/25/2021 11:27:00 AM,4 - INJURY POSSIBLE
39.176935,-84.478441,Injury,10/29/2021 4:50:00 PM,4 - INJURY POSSIBLE
39.159311,-84.415411,Injury,7/15/2022 11:20:00 AM,4 - INJURY POSSIBLE
39.125907,-84.549186,Injury,3/12/2021 7:46:00 PM,4 - INJURY POSSIBLE
39.127216,-84.548781,Injury,1/7/2022 9:48:00 AM,4 - INJURY POSSIBLE
39.140828,-84.604878,Injury,6/11/2021 9:32:00 PM,4 - INJURY POSSIBLE
39.110527,-84.515256,Injury,9/3/2021 8:48:00 PM,4 - INJURY POSSIBLE
39.151695,-84.602811,Injury,6/5/2020 3:10:00 PM,4 - INJURY POSSIBLE
39.137945,-84.499913,Injury,6/28/2019 9:58:27 AM,4 - INJURY POSSIBLE
39.158485,-84.503901,Injury,2/15/2019 7:37:00 PM,4 - INJURY POSSIBLE
39.096731,-84.558841,Injury,9/20/2019 9:48:00 PM,4 - INJURY POSSIBLE
39.108723,-84.530439,Injury,7/19/2019 7:31:00 AM,4 - INJURY POSSIBLE
39.149171,-84.592761,Injury,4/30/2021 2:29:00 PM,4 - INJURY POSSIBLE
39.127656,-84.563092,Injury,10/9/2020 7:10:00 PM,4 - INJURY POSSIBLE
39.143491,-84.550241,Injury,8/13/2021 10:43:00 AM,4 - INJURY POSSIBLE
39.155901,-84.505095,Injury,8/27/2021 8:00:15 AM,4 - INJURY POSSIBLE
39.157291,-84.480883,Injury,11/5/2021 12:18:00 PM,4 - INJURY POSSIBLE
39.165546,-84.520578,Injury,10/11/2019 11:24:00 AM,4 - INJURY POSSIBLE
39.143198,-84.491531,Injury,6/14/2019 12:36:33 PM,4 - INJURY POSSIBLE
39.191601,-84.570044,Injury,9/27/2019 7:50:56 AM,4 - INJURY POSSIBLE
39.152903,-84.549933,Injury,7/17/2020 1:25:00 PM,4 - INJURY POSSIBLE
39.143371,-84.536415,Injury,7/2/2021 5:33:00 PM,4 - INJURY POSSIBLE
39.202049,-84.539842,Injury,2/18/2022 5:30:00 PM,4 - INJURY POSSIBLE
39.153247,-84.427417,Injury,8/20/2021 9:50:00 PM,4 - INJURY POSSIBLE
39.13486,-84.48678,Injury,4/30/2021 10:42:00 PM,4 - INJURY POSSIBLE
39.213371,-84.465478,Injury,8/28/2020 4:05:00 PM,4 - INJURY POSSIBLE
39.122302,-84.603022,Injury,1/3/2020 1:10:00 PM,4 - INJURY POSSIBLE
39.177323,-84.468567,Injury,2/1/2019 10:30:00 AM,4 - INJURY POSSIBLE
39.097011,-84.526683,Injury,9/6/2019 11:18:00 AM,4 - INJURY POSSIBLE
39.139076,-84.599621,Injury,9/18/2020 6:24:00 PM,4 - INJURY POSSIBLE
39.173582,-84.509385,Injury,5/15/2020 11:13:00 PM,4 - INJURY POSSIBLE
39.125934,-84.553864,Injury,3/13/2020 12:10:00 AM,4 - INJURY POSSIBLE
39.101101,-84.522377,Injury,10/8/2021 3:15:00 PM,4 - INJURY POSSIBLE
39.183325,-84.483941,Injury,10/15/2021 5:25:00 PM,4 - INJURY POSSIBLE
39.116692,-84.529873,Injury,6/14/2019 12:22:00 PM,4 - INJURY POSSIBLE
39.136321,-84.501854,Injury,3/5/2021 9:55:00 AM,4 - INJURY POSSIBLE
39.103624,-84.507697,Injury,1/25/2019 3:42:00 PM,4 - INJURY POSSIBLE
39.190071,-84.570516,Injury,4/15/2022 8:30:00 AM,4 - INJURY POSSIBLE
39.152596,-84.482313,Injury,7/19/2019 8:10:00 PM,4 - INJURY POSSIBLE
39.104574,-84.508057,Injury,1/25/2019 3:42:00 PM,4 - INJURY POSSIBLE
39.127199,-84.491365,Injury,5/20/2022 11:15:00 AM,4 - INJURY POSSIBLE
39.144024,-84.491375,Injury,12/4/2020 1:18:00 PM,4 - INJURY POSSIBLE
39.14439,-84.49077,Injury,8/23/2019 2:15:00 PM,4 - INJURY POSSIBLE
39.199,-84.479763,Injury,9/25/2020 3:33:00 PM,4 - INJURY POSSIBLE
39.136178,-84.503312,Injury,1/31/2020 8:45:00 AM,4 - INJURY POSSIBLE
39.134509,-84.599805,Injury,2/28/2020 7:21:00 PM,4 - INJURY POSSIBLE
39.161073,-84.514386,Injury,11/8/2019 9:32:00 PM,4 - INJURY POSSIBLE
39.135016,-84.491095,Injury,2/12/2021 9:39:00 AM,4 - INJURY POSSIBLE
39.134645,-84.549269,Injury,10/1/2021 8:15:00 AM,4 - INJURY POSSIBLE
39.109485,-84.513873,Injury,11/26/2021 7:11:00 PM,4 - INJURY POSSIBLE
39.137033,-84.550276,Injury,9/11/2020 11:10:00 AM,4 - INJURY POSSIBLE
39.188585,-84.464859,Injury,11/13/2020 8:35:00 AM,4 - INJURY POSSIBLE
39.143624,-84.621398,Injury,7/10/2020 6:21:00 PM,4 - INJURY POSSIBLE
39.145722,-84.573778,Injury,3/5/2021 2:52:00 PM,4 - INJURY POSSIBLE
39.188431,-84.514142,Injury,4/29/2022 2:23:00 PM,4 - INJURY POSSIBLE
39.145292,-84.489695,Injury,11/27/2020 6:09:00 PM,4 - INJURY POSSIBLE
39.160117,-84.505579,Injury,1/11/2019 4:22:00 AM,4 - INJURY POSSIBLE
39.203699,-84.557131,Injury,5/17/2019 10:15:50 PM,4 - INJURY POSSIBLE
39.179314,-84.520701,Injury,6/5/2020 6:50:00 AM,4 - INJURY POSSIBLE
39.177221,-84.508731,Injury,5/20/2022 8:00:00 AM,4 - INJURY POSSIBLE
39.139478,-84.552114,Injury,1/31/2020 9:55:00 AM,4 - INJURY POSSIBLE
39.117036,-84.527456,Injury,11/15/2019 10:55:00 AM,4 - INJURY POSSIBLE
39.116881,-84.582679,Injury,10/29/2021 11:05:00 PM,4 - INJURY POSSIBLE
39.162259,-84.508022,Injury,9/4/2020 7:54:00 PM,4 - INJURY POSSIBLE
39.155474,-84.542725,Injury,1/21/2022 2:15:00 PM,4 - INJURY POSSIBLE
39.150581,-84.603733,Injury,7/12/2019 12:43:00 PM,4 - INJURY POSSIBLE
39.115131,-84.582155,Injury,11/19/2021 5:53:00 PM,4 - INJURY POSSIBLE
39.146902,-84.469006,Injury,11/12/2021 8:15:00 PM,4 - INJURY POSSIBLE
39.134971,-84.500323,Injury,9/24/2021 9:30:00 AM,4 - INJURY POSSIBLE
39.148174,-84.597605,Injury,6/18/2021 9:55:00 PM,4 - INJURY POSSIBLE
39.119866,-84.500156,Injury,11/12/2021 9:16:00 AM,4 - INJURY POSSIBLE
39.135459,-84.533443,Injury,8/14/2020 1:56:00 PM,4 - INJURY POSSIBLE
39.176089,-84.508826,Injury,2/28/2020 12:50:00 AM,4 - INJURY POSSIBLE
39.112634,-84.531401,Injury,9/4/2020 8:30:00 AM,4 - INJURY POSSIBLE
39.160641,-84.521821,Injury,5/27/2022 12:36:00 PM,4 - INJURY POSSIBLE
39.14602,-84.51933,Injury,6/17/2022 8:05:00 PM,4 - INJURY POSSIBLE
39.203162,-84.547782,Injury,12/27/2019 3:45:00 PM,4 - INJURY POSSIBLE
39.135859,-84.496045,Injury,4/2/2021 10:09:00 AM,4 - INJURY POSSIBLE
39.198711,-84.456761,Injury,9/3/2021 11:02:00 PM,4 - INJURY POSSIBLE
39.112692,-84.514861,Injury,10/11/2019 12:53:00 PM,4 - INJURY POSSIBLE
39.125625,-84.535031,Injury,9/2/2022 4:34:00 PM,4 - INJURY POSSIBLE
39.162631,-84.506711,Injury,5/8/2020 11:36:00 PM,4 - INJURY POSSIBLE
39.112718,-84.526655,Injury,8/30/2019 4:15:00 PM,4 - INJURY POSSIBLE
39.136993,-84.470675,Injury,3/5/2018 9:35:00 PM,2 - INJURY
39.198586,-84.470241,Injury,9/24/2018 6:00:00 PM,2 - INJURY
39.199105,-84.475361,Injury,10/29/2018 6:50:00 PM,2 - INJURY
39.188731,-84.569741,Injury,3/19/2018 6:07:55 PM,2 - INJURY
39.100575,-84.515166,Injury,9/10/2018 2:00:00 AM,2 - INJURY
39.109706,-84.596287,Injury,9/3/2018 6:00:00 PM,2 - INJURY
39.132891,-84.478141,Injury,10/8/2018 7:54:00 PM,2 - INJURY
39.191986,-84.570171,Injury,9/17/2018 5:28:00 AM,2 - INJURY
39.193881,-84.477577,Injury,9/24/2018 5:56:00 AM,2 - INJURY
39.177779,-84.466027,Injury,11/5/2018 10:15:00 PM,2 - INJURY
39.112182,-84.531561,Injury,12/17/2018 6:18:00 PM,2 - INJURY
39.117092,-84.531063,Injury,12/31/2018 6:30:00 AM,2 - INJURY
39.112969,-84.590331,Injury,10/29/2018 9:10:00 AM,2 - INJURY
39.136372,-84.541685,Injury,11/5/2018 7:50:00 AM,2 - INJURY
39.101911,-84.515671,Injury,9/24/2018 6:54:00 AM,2 - INJURY
39.177061,-84.477541,Injury,10/22/2018 8:02:00 PM,2 - INJURY
39.162783,-84.507045,Injury,10/22/2018 12:29:00 PM,2 - INJURY
39.214935,-84.473835,Injury,11/5/2018 11:55:00 PM,2 - INJURY
39.144598,-84.624998,Injury,12/17/2018 7:18:00 PM,2 - INJURY
39.139831,-84.481521,Injury,11/26/2018 11:25:00 PM,2 - INJURY
39.177135,-84.465487,Injury,12/31/2018 8:00:00 AM,2 - INJURY
39.106871,-84.508121,Injury,7/5/2021 12:14:00 AM,2 - SERIOUS INJURY SUSPECTED
39.11484,-84.51733,Injury,6/15/2020 11:48:00 PM,2 - SERIOUS INJURY SUSPECTED
39.168028,-84.471483,Injury,2/11/2019 2:39:56 AM,2 - SERIOUS INJURY SUSPECTED
39.141981,-84.581535,Injury,11/9/2020 3:34:00 PM,2 - SERIOUS INJURY SUSPECTED
39.146813,-84.542082,Injury,7/25/2022 4:36:00 PM,2 - SERIOUS INJURY SUSPECTED
39.111151,-84.531802,Injury,9/27/2021 4:45:00 PM,2 - SERIOUS INJURY SUSPECTED
39.132011,-84.492821,Injury,3/1/2021 4:38:00 PM,2 - SERIOUS INJURY SUSPECTED
39.128446,-84.519843,Injury,2/17/2020 6:35:00 PM,3 - MINOR INJURY SUSPECTED
39.113447,-84.511623,Injury,1/18/2021 12:40:33 PM,3 - MINOR INJURY SUSPECTED
39.176511,-84.466521,Injury,9/20/2021 8:00:00 PM,3 - MINOR INJURY SUSPECTED
39.140115,-84.475823,Injury,4/4/2022 5:54:00 PM,3 - MINOR INJURY SUSPECTED
39.192445,-84.460527,Injury,12/28/2020 6:45:00 PM,3 - MINOR INJURY SUSPECTED
39.187285,-84.464097,Injury,11/9/2020 10:48:00 PM,3 - MINOR INJURY SUSPECTED
39.136676,-84.533843,Injury,9/16/2019 8:06:00 PM,3 - MINOR INJURY SUSPECTED
39.160537,-84.474189,Injury,4/18/2022 4:13:00 PM,3 - MINOR INJURY SUSPECTED
39.154959,-84.603018,Injury,11/22/2021 4:15:00 PM,3 - MINOR INJURY SUSPECTED
39.123926,-84.548731,Injury,2/24/2020 2:35:00 PM,3 - MINOR INJURY SUSPECTED
39.162728,-84.552005,Injury,4/26/2021 9:47:00 PM,3 - MINOR INJURY SUSPECTED
39.104455,-84.511269,Injury,8/3/2020 10:44:01 PM,3 - MINOR INJURY SUSPECTED
39.164584,-84.470964,Injury,5/3/2021 12:22:21 AM,3 - MINOR INJURY SUSPECTED
39.113214,-84.577071,Injury,11/22/2021 9:50:00 PM,3 - MINOR INJURY SUSPECTED
39.140901,-84.613388,Injury,6/22/2020 3:50:00 AM,3 - MINOR INJURY SUSPECTED
39.127011,-84.554275,Injury,9/28/2020 2:00:00 PM,3 - MINOR INJURY SUSPECTED
39.194091,-84.565151,Injury,10/25/2021 3:38:00 PM,3 - MINOR INJURY SUSPECTED
39.115561,-84.532701,Injury,9/20/2021 2:45:00 PM,3 - MINOR INJURY SUSPECTED
39.113774,-84.513321,Injury,10/5/2020 4:00:00 PM,3 - MINOR INJURY SUSPECTED
39.119101,-84.599851,Injury,5/2/2022 6:00:00 PM,3 - MINOR INJURY SUSPECTED
39.110051,-84.597371,Injury,3/28/2022 8:30:04 AM,3 - MINOR INJURY SUSPECTED
39.121344,-84.418315,Injury,6/29/2020 7:28:00 AM,3 - MINOR INJURY SUSPECTED
39.165004,-84.546461,Injury,1/14/2019 7:00:00 PM,3 - MINOR INJURY SUSPECTED
39.104541,-84.566511,Injury,7/11/2022 3:40:00 AM,3 - MINOR INJURY SUSPECTED
39.116761,-84.516481,Injury,2/3/2020 7:00:00 PM,3 - MINOR INJURY SUSPECTED
39.143708,-84.491168,Injury,8/1/2022 11:02:00 PM,3 - MINOR INJURY SUSPECTED
39.1468,-84.540036,Injury,3/8/2021 1:50:00 AM,3 - MINOR INJURY SUSPECTED
39.141908,-84.531233,Injury,8/17/2020 5:50:00 AM,3 - MINOR INJURY SUSPECTED
39.12397,-84.48813,Injury,6/10/2019 11:02:00 AM,3 - MINOR INJURY SUSPECTED
39.128561,-84.597561,Injury,10/26/2020 3:36:00 PM,3 - MINOR INJURY SUSPECTED
39.109351,-84.516441,Injury,7/8/2019 10:49:48 PM,3 - MINOR INJURY SUSPECTED
39.134879,-84.533013,Injury,4/12/2021 3:15:00 AM,3 - MINOR INJURY SUSPECTED
39.108729,-84.562578,Injury,11/9/2020 1:55:00 AM,3 - MINOR INJURY SUSPECTED
39.110278,-84.570196,Injury,12/16/2019 5:45:00 PM,3 - MINOR INJURY SUSPECTED
